;index;cluster
0;2019-11-01 01:47:30+00:00;1.0
1;2019-11-01 21:47:30+00:00;6.0
2;2019-11-01 16:07:30+00:00;5.0
3;2019-11-01 10:47:30+00:00;5.0
4;2019-11-01 00:55:00+00:00;6.0
5;2019-11-01 13:05:00+00:00;0.0
6;2019-11-01 09:12:30+00:00;10.0
7;2019-11-01 12:07:30+00:00;5.0
8;2019-11-01 05:50:00+00:00;15.0
9;2019-11-01 00:50:00+00:00;11.0
10;2019-11-01 05:55:00+00:00;10.0
11;2019-11-01 17:02:30+00:00;13.0
12;2019-10-31 23:02:30+00:00;6.0
13;2019-11-01 10:35:00+00:00;15.0
14;2019-11-01 21:02:30+00:00;13.0
15;2019-11-01 12:47:30+00:00;5.0
16;2019-11-01 08:05:00+00:00;5.0
17;2019-11-01 16:32:30+00:00;5.0
18;2019-11-01 12:12:30+00:00;5.0
19;2019-11-01 15:07:30+00:00;5.0
20;2019-11-01 05:42:30+00:00;10.0
21;2019-11-01 05:40:00+00:00;15.0
22;2019-11-01 20:30:00+00:00;15.0
23;2019-11-01 06:07:30+00:00;15.0
24;2019-11-01 15:17:30+00:00;10.0
25;2019-11-01 16:15:00+00:00;15.0
26;2019-11-01 09:40:00+00:00;5.0
27;2019-11-01 05:27:30+00:00;0.0
28;2019-11-01 03:27:30+00:00;18.0
29;2019-11-01 18:32:30+00:00;5.0
30;2019-11-01 01:30:00+00:00;1.0
31;2019-11-01 14:10:00+00:00;15.0
32;2019-11-01 06:22:30+00:00;10.0
33;2019-11-01 17:25:00+00:00;5.0
34;2019-11-01 16:20:00+00:00;5.0
35;2019-11-01 00:10:00+00:00;6.0
36;2019-11-01 00:20:00+00:00;6.0
37;2019-11-01 11:20:00+00:00;15.0
38;2019-11-01 09:30:00+00:00;5.0
39;2019-11-01 07:00:00+00:00;6.0
40;2019-11-01 18:52:30+00:00;5.0
41;2019-11-01 16:52:30+00:00;5.0
42;2019-11-01 16:42:30+00:00;5.0
43;2019-11-01 19:50:00+00:00;5.0
44;2019-11-01 13:00:00+00:00;15.0
45;2019-11-01 05:00:00+00:00;4.0
46;2019-11-01 03:25:00+00:00;6.0
47;2019-11-01 14:45:00+00:00;10.0
48;2019-11-01 21:50:00+00:00;6.0
49;2019-11-01 18:30:00+00:00;5.0
50;2019-11-01 16:40:00+00:00;5.0
51;2019-11-01 15:50:00+00:00;10.0
52;2019-11-01 10:05:00+00:00;15.0
53;2019-11-01 07:12:30+00:00;0.0
54;2019-11-01 03:22:30+00:00;6.0
55;2019-11-01 02:05:00+00:00;19.0
56;2019-11-01 19:02:30+00:00;13.0
57;2019-11-01 09:05:00+00:00;15.0
58;2019-11-01 19:20:00+00:00;5.0
59;2019-11-01 06:00:00+00:00;1.0
60;2019-11-01 15:52:30+00:00;5.0
61;2019-11-01 11:30:00+00:00;10.0
62;2019-11-01 06:25:00+00:00;15.0
63;2019-11-01 07:40:00+00:00;10.0
64;2019-11-01 19:22:30+00:00;5.0
65;2019-11-01 01:35:00+00:00;1.0
66;2019-11-01 20:20:00+00:00;15.0
67;2019-11-01 11:22:30+00:00;15.0
68;2019-11-01 07:30:00+00:00;5.0
69;2019-11-01 21:00:00+00:00;13.0
70;2019-11-01 03:00:00+00:00;4.0
71;2019-11-01 11:32:30+00:00;5.0
72;2019-11-01 08:02:30+00:00;13.0
73;2019-11-01 08:12:30+00:00;10.0
74;2019-11-01 01:02:30+00:00;12.0
75;2019-11-01 12:05:00+00:00;10.0
76;2019-11-01 14:55:00+00:00;5.0
77;2019-11-01 02:37:30+00:00;1.0
78;2019-11-01 07:10:00+00:00;15.0
79;2019-11-01 03:15:00+00:00;18.0
80;2019-11-01 11:47:30+00:00;15.0
81;2019-11-01 05:37:30+00:00;15.0
82;2019-10-31 23:15:00+00:00;17.0
83;2019-11-01 20:25:00+00:00;15.0
84;2019-11-01 01:00:00+00:00;9.0
85;2019-11-01 10:32:30+00:00;0.0
86;2019-11-01 09:57:30+00:00;0.0
87;2019-11-01 15:27:30+00:00;5.0
88;2019-11-01 05:32:30+00:00;15.0
89;2019-10-31 23:47:30+00:00;6.0
90;2019-11-01 13:50:00+00:00;5.0
91;2019-11-01 02:20:00+00:00;1.0
92;2019-11-01 13:57:30+00:00;15.0
93;2019-11-01 12:27:30+00:00;15.0
94;2019-11-01 13:25:00+00:00;5.0
95;2019-11-01 02:17:30+00:00;1.0
96;2019-11-01 18:50:00+00:00;5.0
97;2019-11-01 02:57:30+00:00;19.0
98;2019-11-01 11:42:30+00:00;15.0
99;2019-11-01 06:45:00+00:00;15.0
100;2019-11-01 13:45:00+00:00;5.0
101;2019-11-01 00:12:30+00:00;6.0
102;2019-11-01 11:15:00+00:00;15.0
103;2019-11-01 13:15:00+00:00;5.0
104;2019-11-01 21:15:00+00:00;0.0
105;2019-11-01 17:50:00+00:00;5.0
106;2019-11-01 06:17:30+00:00;15.0
107;2019-11-01 20:05:00+00:00;0.0
108;2019-11-01 01:37:30+00:00;1.0
109;2019-11-01 18:22:30+00:00;5.0
110;2019-11-01 01:45:00+00:00;1.0
111;2019-11-01 05:52:30+00:00;15.0
112;2019-11-01 06:27:30+00:00;15.0
113;2019-11-01 19:55:00+00:00;5.0
114;2019-11-01 16:25:00+00:00;10.0
115;2019-11-01 19:47:30+00:00;5.0
116;2019-11-01 07:07:30+00:00;5.0
117;2019-11-01 02:55:00+00:00;1.0
118;2019-11-01 16:35:00+00:00;5.0
119;2019-11-01 17:55:00+00:00;5.0
120;2019-11-01 14:57:30+00:00;15.0
121;2019-11-01 07:25:00+00:00;5.0
122;2019-11-01 14:42:30+00:00;10.0
123;2019-11-01 02:00:00+00:00;4.0
124;2019-11-01 13:07:30+00:00;13.0
125;2019-11-01 17:20:00+00:00;5.0
126;2019-11-01 13:20:00+00:00;5.0
127;2019-11-01 18:57:30+00:00;15.0
128;2019-11-01 03:30:00+00:00;9.0
129;2019-11-01 11:55:00+00:00;15.0
130;2019-11-01 01:52:30+00:00;1.0
131;2019-10-31 23:50:00+00:00;0.0
132;2019-11-01 13:42:30+00:00;10.0
133;2019-11-01 19:25:00+00:00;5.0
134;2019-11-01 13:37:30+00:00;5.0
135;2019-10-31 23:25:00+00:00;3.0
136;2019-11-01 11:27:30+00:00;10.0
137;2019-11-01 08:25:00+00:00;5.0
138;2019-11-01 11:02:30+00:00;13.0
139;2019-10-31 23:42:30+00:00;3.0
140;2019-11-01 14:32:30+00:00;5.0
141;2019-11-01 14:37:30+00:00;5.0
142;2019-11-01 08:15:00+00:00;5.0
143;2019-11-01 20:40:00+00:00;15.0
144;2019-11-01 02:40:00+00:00;1.0
145;2019-11-01 09:00:00+00:00;13.0
146;2019-11-01 20:10:00+00:00;10.0
147;2019-11-01 13:52:30+00:00;5.0
148;2019-11-01 05:22:30+00:00;8.0
149;2019-11-01 08:42:30+00:00;10.0
150;2019-11-01 17:37:30+00:00;5.0
151;2019-11-01 18:12:30+00:00;5.0
152;2019-11-01 09:27:30+00:00;5.0
153;2019-11-01 04:57:30+00:00;19.0
154;2019-11-01 00:22:30+00:00;19.0
155;2019-11-01 09:55:00+00:00;15.0
156;2019-11-01 21:30:00+00:00;11.0
157;2019-11-01 08:20:00+00:00;5.0
158;2019-11-01 08:07:30+00:00;5.0
159;2019-11-01 19:30:00+00:00;5.0
160;2019-11-01 17:52:30+00:00;5.0
161;2019-11-01 21:55:00+00:00;6.0
162;2019-11-01 09:42:30+00:00;5.0
163;2019-11-01 07:05:00+00:00;15.0
164;2019-11-01 13:02:30+00:00;15.0
165;2019-11-01 12:37:30+00:00;10.0
166;2019-11-01 10:27:30+00:00;0.0
167;2019-11-01 21:32:30+00:00;6.0
168;2019-11-01 19:52:30+00:00;5.0
169;2019-11-01 17:40:00+00:00;5.0
170;2019-11-01 09:17:30+00:00;5.0
171;2019-11-01 15:40:00+00:00;5.0
172;2019-11-01 10:00:00+00:00;13.0
173;2019-11-01 17:00:00+00:00;13.0
174;2019-11-01 06:32:30+00:00;10.0
175;2019-11-01 11:17:30+00:00;15.0
176;2019-11-01 20:17:30+00:00;15.0
177;2019-11-01 02:12:30+00:00;1.0
178;2019-11-01 07:50:00+00:00;5.0
179;2019-11-01 14:52:30+00:00;5.0
180;2019-11-01 10:02:30+00:00;13.0
181;2019-11-01 20:00:00+00:00;2.0
182;2019-11-01 02:25:00+00:00;1.0
183;2019-11-01 10:50:00+00:00;5.0
184;2019-11-01 09:22:30+00:00;5.0
185;2019-11-01 20:02:30+00:00;14.0
186;2019-11-01 14:00:00+00:00;13.0
187;2019-11-01 11:12:30+00:00;15.0
188;2019-11-01 06:05:00+00:00;0.0
189;2019-11-01 21:27:30+00:00;11.0
190;2019-11-01 12:25:00+00:00;5.0
191;2019-11-01 07:52:30+00:00;5.0
192;2019-11-01 16:05:00+00:00;15.0
193;2019-11-01 05:25:00+00:00;11.0
194;2019-11-01 12:57:30+00:00;15.0
195;2019-11-01 12:20:00+00:00;5.0
196;2019-11-01 15:25:00+00:00;5.0
197;2019-11-01 05:45:00+00:00;10.0
198;2019-11-01 15:55:00+00:00;5.0
199;2019-11-01 20:47:30+00:00;10.0
200;2019-10-31 23:27:30+00:00;7.0
201;2019-10-31 23:30:00+00:00;2.0
202;2019-10-31 23:32:30+00:00;2.0
203;2019-10-31 23:35:00+00:00;7.0
204;2019-10-31 23:37:30+00:00;17.0
205;2019-11-01 00:27:30+00:00;17.0
206;2019-11-01 00:30:00+00:00;17.0
207;2019-11-01 00:32:30+00:00;17.0
208;2019-11-01 00:35:00+00:00;3.0
209;2019-11-01 00:37:30+00:00;3.0
210;2019-11-01 00:40:00+00:00;17.0
